conference,Team name,,,,,
Big 12,kansas,,,,,
Big 12,west-virginia,,,,,
Big 12,texas-tech,,,,,
Big 12,texas-christian,,,,,
Big 12,kansas-state,,,,,
Big 12,baylor,,,,,
Big 12,texas,,,,,
Big 12,oklahoma-state,,,,,
Big 12,oklahoma,,,,,
Big 12,iowa-state,,,,,
Atlantic Coast,virginia,,,,,
Atlantic Coast,duke,,,,,
Atlantic Coast,clemson,,,,,
Atlantic Coast,north-carolina,,,,,
Atlantic Coast,miami-fl,,,,,
Atlantic Coast,virginia-tech,,,,,
Atlantic Coast,north-carolina-state,,,,,
Atlantic Coast,louisville,,,,,
Atlantic Coast,notre-dame,,,,,
Atlantic Coast,florida-state,,,,,
Atlantic Coast,boston-college,,,,,
Atlantic Coast,syracuse,,,,,
Atlantic Coast,georgia-tech,,,,,
Atlantic Coast,wake-forest,,,,,
Atlantic Coast,pittsburgh,,,,,
Southeastern,auburn,,,,,
Southeastern,tennessee-state,,,,,
Southeastern,florida,,,,,
Southeastern,arkansas,,,,,
Southeastern,kentucky,,,,,
Southeastern,missouri,,,,,
Southeastern,mississippi-state,,,,,
Southeastern,alabama,,,,,
Southeastern,texas-am,,,,,
Southeastern,south-carolina,,,,,
Southeastern,georgia,,,,,
Southeastern,louisiana-state,,,,,
Southeastern,vanderbilt,,,,,
Southeastern,mississippi,,,,,
Big East,xavier,,,,,
Big East,villanova,,,,,
Big East,creighton,,,,,
Big East,seton-hall,,,,,
Big East,butler,,,,,
Big East,providence,,,,,
Big East,marquette,,,,,
Big East,georgetown,,,,,
Big East,st-johns-ny,,,,,
Big East,depaul,,,,,
Big 10,michigan,,,,,
Big 10,maryland,,,,,
Big 10,penn-state,,,,,
Big 10,minnesota,,,,,
Big 10,northwestern,,,,,
Big 10,ohio-state,,,,,
Big 10,wisconsin,,,,,
Big 10,indiana,,,,,
Big 10,iowa,,,,,
Big 10,nebraska,,,,,
Big 10,illinois,,,,,
American Athletic,wichita-state,,,,,
American Athletic,cincinnati,,,,,
American Athletic,southern-methodist,,,,,
American Athletic,houston,,,,,
American Athletic,temple,,,,,
American Athletic,central-florida,,,,,
American Athletic,connecticut,,,,,
American Athletic,tulsa,,,,,
American Athletic,tulane,,,,,
American Athletic,memphis,,,,,
American Athletic,east-carolina,,,,,
American Athletic,wichita-state,,,,,
