Year,Team,Rank
2017,north-carolina,1
2016,villanova,1
2015,duke,1
2014,connecticut,1
2013,louisville,1
2012,kentucky,1
2011,connecticut,1
2010,duke,1
2009,north-carolina,1
2008,kansas,1
2007,florida,1
2017,gonzaga,2
2016,north-carolina,2
2015,wisconsin,2
2014,kentucky,2
2013,michigan,2
2012,kansas,2
2011,butler,2
2010,butler,2
2009,michigan-state,2
2008,memphis,2
2007,ohio-state,2
2017,oregon,3
2016,oklahoma,3
2015,michigan-state,3
2014,florida,3
2013,wichita-state,3
2012,louisville,3
2011,kentucky,3
2010,west-virginia,3
2009,villanova,3
2008,north-carolina,3
2007,ucla,3
2017,south-carolina-upstate,3
2016,syracuse,3
2015,kentucky,3
2014,wisconsin,3
2013,syracuse,3
2012,ohio-state,3
2011,virginia-commonwealth,3
2010,michigan-state,3
2009,connecticut,3
2008,ucla,3
2007,georgetown,3
